MAL_ID,SEPERATE,Name,SEPERATE,Score,SEPERATE,Genres,SEPERATE,Type,SEPERATE,Episodes,SEPERATE,Premiered,SEPERATE,Ranked,SEPERATE,Popularity,SEPERATE,Favorites,END
26,SEPERATE,Texhnolyze,SEPERATE,7.76,SEPERATE,"Action, Sci-Fi, Psychological, Drama",SEPERATE,TV,SEPERATE,22,SEPERATE,Spring 2003,SEPERATE,896,SEPERATE,823,SEPERATE,3671,END
27,SEPERATE,Trinity Blood,SEPERATE,7.32,SEPERATE,"Action, Supernatural, Vampire",SEPERATE,TV,SEPERATE,24,SEPERATE,Spring 2005,SEPERATE,2240,SEPERATE,936,SEPERATE,1479,END
28,SEPERATE,Yakitate!! Japan,SEPERATE,7.95,SEPERATE,"Comedy, Shounen",SEPERATE,TV,SEPERATE,69,SEPERATE,Fall 2004,SEPERATE,609,SEPERATE,1666,SEPERATE,887,END
29,SEPERATE,Zipang,SEPERATE,7.51,SEPERATE,"Action, Military, Sci-Fi, Historical, Drama, Seinen",SEPERATE,TV,SEPERATE,26,SEPERATE,Fall 2004,SEPERATE,1565,SEPERATE,3985,SEPERATE,152,END
30,SEPERATE,Neon Genesis Evangelion,SEPERATE,8.32,SEPERATE,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",SEPERATE,TV,SEPERATE,26,SEPERATE,Fall 1995,SEPERATE,208,SEPERATE,54,SEPERATE,71308,END
31,SEPERATE,Neon Genesis Evangelion: Death & Rebirth,SEPERATE,7.45,SEPERATE,"Drama, Mecha, Psychological, Sci-Fi",SEPERATE,Movie,SEPERATE,1,SEPERATE,Unknown,SEPERATE,1742,SEPERATE,833,SEPERATE,588,END
32,SEPERATE,Neon Genesis Evangelion: The End of Evangelion,SEPERATE,8.51,SEPERATE,"Sci-Fi, Dementia, Psychological, Drama, Mecha",SEPERATE,Movie,SEPERATE,1,SEPERATE,Unknown,SEPERATE,102,SEPERATE,195,SEPERATE,17811,END
33,SEPERATE,Kenpuu Denki Berserk,SEPERATE,8.49,SEPERATE,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",SEPERATE,TV,SEPERATE,25,SEPERATE,Fall 1997,SEPERATE,108,SEPERATE,301,SEPERATE,18567,END
43,SEPERATE,Koukaku Kidoutai,SEPERATE,8.29,SEPERATE,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",SEPERATE,Movie,SEPERATE,1,SEPERATE,Unknown,SEPERATE,236,SEPERATE,265,SEPERATE,10362,END
44,SEPERATE,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,SEPERATE,8.73,SEPERATE,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",SEPERATE,OVA,SEPERATE,4,SEPERATE,Unknown,SEPERATE,37,SEPERATE,637,SEPERATE,6111,END
45,SEPERATE,Rurouni Kenshin: Meiji Kenkaku Romantan,SEPERATE,8.31,SEPERATE,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",SEPERATE,TV,SEPERATE,94,SEPERATE,Winter 1996,SEPERATE,220,SEPERATE,345,SEPERATE,11236,END
46,SEPERATE,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,SEPERATE,7.56,SEPERATE,"Samurai, Historical, Drama, Shounen",SEPERATE,Movie,SEPERATE,1,SEPERATE,Unknown,SEPERATE,1397,SEPERATE,2411,SEPERATE,107,END
47,SEPERATE,Akira,SEPERATE,8.17,SEPERATE,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",SEPERATE,Movie,SEPERATE,1,SEPERATE,Unknown,SEPERATE,333,SEPERATE,197,SEPERATE,9555,END
48,SEPERATE,.hack//Sign,SEPERATE,6.98,SEPERATE,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",SEPERATE,TV,SEPERATE,26,SEPERATE,Spring 2002,SEPERATE,3687,SEPERATE,940,SEPERATE,1359,END
49,SEPERATE,Aa! Megami-sama!,SEPERATE,7.32,SEPERATE,"Comedy, Magic, Romance, Seinen, Supernatural",SEPERATE,OVA,SEPERATE,5,SEPERATE,Unknown,SEPERATE,2226,SEPERATE,2360,SEPERATE,267,END
50,SEPERATE,Aa! Megami-sama! (TV),SEPERATE,7.35,SEPERATE,"Comedy, Supernatural, Magic, Romance, Seinen",SEPERATE,TV,SEPERATE,24,SEPERATE,Winter 2005,SEPERATE,2116,SEPERATE,1083,SEPERATE,1124,END
51,SEPERATE,Tenshi Kinryouku,SEPERATE,6.31,SEPERATE,"Action, Drama, Romance, Shoujo, Supernatural",SEPERATE,OVA,SEPERATE,3,SEPERATE,Unknown,SEPERATE,6823,SEPERATE,2419,SEPERATE,215,END
52,SEPERATE,Kidou Tenshi Angelic Layer,SEPERATE,7.26,SEPERATE,"Sci-Fi, Comedy, Sports, Drama, Shounen",SEPERATE,TV,SEPERATE,26,SEPERATE,Spring 2001,SEPERATE,2529,SEPERATE,2232,SEPERATE,290,END
53,SEPERATE,Ai Yori Aoshi,SEPERATE,7.14,SEPERATE,"Harem, Slice of Life, Comedy, Drama, Romance",SEPERATE,TV,SEPERATE,24,SEPERATE,Spring 2002,SEPERATE,3012,SEPERATE,1465,SEPERATE,458,END
54,SEPERATE,Appleseed (Movie),SEPERATE,7.1,SEPERATE,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",SEPERATE,Movie,SEPERATE,1,SEPERATE,Unknown,SEPERATE,3206,SEPERATE,1901,SEPERATE,173,END
55,SEPERATE,Arc the Lad,SEPERATE,6.53,SEPERATE,"Action, Adventure, Fantasy, Horror, Sci-Fi",SEPERATE,TV,SEPERATE,26,SEPERATE,Spring 1999,SEPERATE,5738,SEPERATE,4259,SEPERATE,17,END
56,SEPERATE,Avenger,SEPERATE,5.91,SEPERATE,"Adventure, Fantasy, Sci-Fi, Shounen",SEPERATE,TV,SEPERATE,13,SEPERATE,Fall 2003,SEPERATE,8501,SEPERATE,4073,SEPERATE,21,END
57,SEPERATE,Beck,SEPERATE,8.31,SEPERATE,"Comedy, Drama, Music, Shounen, Slice of Life",SEPERATE,TV,SEPERATE,26,SEPERATE,Fall 2004,SEPERATE,221,SEPERATE,570,SEPERATE,7038,END
58,SEPERATE,Blue Gender,SEPERATE,7.05,SEPERATE,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",SEPERATE,TV,SEPERATE,26,SEPERATE,Fall 1999,SEPERATE,3455,SEPERATE,1886,SEPERATE,389,END
59,SEPERATE,Chobits,SEPERATE,7.43,SEPERATE,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",SEPERATE,TV,SEPERATE,26,SEPERATE,Spring 2002,SEPERATE,1804,SEPERATE,332,SEPERATE,3859,END
60,SEPERATE,Chrno Crusade,SEPERATE,7.66,SEPERATE,"Action, Demons, Historical, Romance, Shounen, Supernatural",SEPERATE,TV,SEPERATE,24,SEPERATE,Fall 2003,SEPERATE,1120,SEPERATE,742,SEPERATE,2064,END
61,SEPERATE,D.N.Angel,SEPERATE,7.2,SEPERATE,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",SEPERATE,TV,SEPERATE,26,SEPERATE,Spring 2003,SEPERATE,2761,SEPERATE,891,SEPERATE,1523,END
62,SEPERATE,D.C.: Da Capo,SEPERATE,6.77,SEPERATE,"Harem, Drama, Magic, Romance",SEPERATE,TV,SEPERATE,26,SEPERATE,Summer 2003,SEPERATE,4589,SEPERATE,1852,SEPERATE,189,END
63,SEPERATE,DearS,SEPERATE,6.62,SEPERATE,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",SEPERATE,TV,SEPERATE,12,SEPERATE,Summer 2004,SEPERATE,5274,SEPERATE,1146,SEPERATE,391,END
64,SEPERATE,Rozen Maiden,SEPERATE,7.44,SEPERATE,"Action, Comedy, Drama, Magic, Seinen",SEPERATE,TV,SEPERATE,12,SEPERATE,Fall 2004,SEPERATE,1782,SEPERATE,846,SEPERATE,2074,END
65,SEPERATE,Rozen Maiden: Träumend,SEPERATE,7.65,SEPERATE,"Action, Comedy, Drama, Magic, Seinen",SEPERATE,TV,SEPERATE,12,SEPERATE,Fall 2005,SEPERATE,1146,SEPERATE,1479,SEPERATE,516,END
66,SEPERATE,Azumanga Daioh,SEPERATE,7.98,SEPERATE,"Slice of Life, Comedy, School",SEPERATE,TV,SEPERATE,26,SEPERATE,Spring 2002,SEPERATE,555,SEPERATE,554,SEPERATE,5181,END
67,SEPERATE,Basilisk: Kouga Ninpou Chou,SEPERATE,7.58,SEPERATE,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",SEPERATE,TV,SEPERATE,24,SEPERATE,Spring 2005,SEPERATE,1325,SEPERATE,940,SEPERATE,1467,END
68,SEPERATE,Black Cat (TV),SEPERATE,7.38,SEPERATE,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",SEPERATE,TV,SEPERATE,23,SEPERATE,Fall 2005,SEPERATE,1965,SEPERATE,622,SEPERATE,1955,END
69,SEPERATE,Cluster Edge,SEPERATE,6.35,SEPERATE,"Action, Fantasy, Military, Sci-Fi",SEPERATE,TV,SEPERATE,25,SEPERATE,Fall 2005,SEPERATE,6646,SEPERATE,5061,SEPERATE,13,END
71,SEPERATE,Full Metal Panic!,SEPERATE,7.65,SEPERATE,"Action, Military, Sci-Fi, Comedy, Mecha",SEPERATE,TV,SEPERATE,24,SEPERATE,Winter 2002,SEPERATE,1146,SEPERATE,322,SEPERATE,4417,END
72,SEPERATE,Full Metal Panic? Fumoffu,SEPERATE,8.07,SEPERATE,"Action, Comedy, School",SEPERATE,TV,SEPERATE,12,SEPERATE,Summer 2003,SEPERATE,452,SEPERATE,571,SEPERATE,2988,END
73,SEPERATE,Full Metal Panic! The Second Raid,SEPERATE,7.96,SEPERATE,"Action, Military, Mecha",SEPERATE,TV,SEPERATE,13,SEPERATE,Summer 2005,SEPERATE,579,SEPERATE,639,SEPERATE,1358,END
74,SEPERATE,Gakuen Alice,SEPERATE,7.65,SEPERATE,"Comedy, School, Shoujo, Super Power",SEPERATE,TV,SEPERATE,26,SEPERATE,Fall 2004,SEPERATE,1158,SEPERATE,1640,SEPERATE,1613,END
75,SEPERATE,Soukyuu no Fafner: Dead Aggressor,SEPERATE,7.3,SEPERATE,"Action, Drama, Mecha, Military, Sci-Fi",SEPERATE,TV,SEPERATE,25,SEPERATE,Summer 2004,SEPERATE,2348,SEPERATE,2523,SEPERATE,255,END
76,SEPERATE,Mahou Shoujo Lyrical Nanoha,SEPERATE,7.42,SEPERATE,"Action, Comedy, Drama, Magic, Super Power",SEPERATE,TV,SEPERATE,13,SEPERATE,Fall 2004,SEPERATE,1828,SEPERATE,1550,SEPERATE,1036,END
77,SEPERATE,Mahou Shoujo Lyrical Nanoha A's,SEPERATE,7.99,SEPERATE,"Action, Comedy, Drama, Magic, Super Power",SEPERATE,TV,SEPERATE,13,SEPERATE,Fall 2005,SEPERATE,551,SEPERATE,2075,SEPERATE,1014,END
79,SEPERATE,Shuffle!,SEPERATE,7.09,SEPERATE,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",SEPERATE,TV,SEPERATE,24,SEPERATE,Summer 2005,SEPERATE,3231,SEPERATE,600,SEPERATE,1572,END
80,SEPERATE,Mobile Suit Gundam,SEPERATE,7.78,SEPERATE,"Action, Military, Sci-Fi, Space, Mecha",SEPERATE,TV,SEPERATE,43,SEPERATE,Spring 1979,SEPERATE,867,SEPERATE,1427,SEPERATE,1787,END
81,SEPERATE,Mobile Suit Gundam: The 08th MS Team,SEPERATE,8.03,SEPERATE,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",SEPERATE,OVA,SEPERATE,12,SEPERATE,Unknown,SEPERATE,511,SEPERATE,1948,SEPERATE,911,END
82,SEPERATE,Mobile Suit Gundam 0080: War in the Pocket,SEPERATE,7.9,SEPERATE,"Military, Sci-Fi, Space, Drama, Mecha",SEPERATE,OVA,SEPERATE,6,SEPERATE,Unknown,SEPERATE,677,SEPERATE,2444,SEPERATE,717,END
83,SEPERATE,Mobile Suit Gundam: The 08th MS Team - Miller's Report,SEPERATE,6.79,SEPERATE,"Military, Sci-Fi, Drama, Romance, Mecha",SEPERATE,Movie,SEPERATE,1,SEPERATE,Unknown,SEPERATE,4498,SEPERATE,4660,SEPERATE,3,END
84,SEPERATE,Mobile Suit Gundam 0083: Stardust Memory,SEPERATE,7.3,SEPERATE,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",SEPERATE,OVA,SEPERATE,13,SEPERATE,Unknown,SEPERATE,2361,SEPERATE,2791,SEPERATE,230,END
85,SEPERATE,Mobile Suit Zeta Gundam,SEPERATE,7.92,SEPERATE,"Military, Sci-Fi, Space, Drama, Romance, Mecha",SEPERATE,TV,SEPERATE,50,SEPERATE,Spring 1985,SEPERATE,655,SEPERATE,2159,SEPERATE,1721,END
86,SEPERATE,Mobile Suit Gundam ZZ,SEPERATE,6.66,SEPERATE,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",SEPERATE,TV,SEPERATE,47,SEPERATE,Spring 1986,SEPERATE,5111,SEPERATE,2941,SEPERATE,130,END
87,SEPERATE,Mobile Suit Gundam: Char's Counterattack,SEPERATE,7.68,SEPERATE,"Military, Sci-Fi, Space, Drama, Mecha",SEPERATE,Movie,SEPERATE,1,SEPERATE,Unknown,SEPERATE,1084,SEPERATE,2773,SEPERATE,293,END
88,SEPERATE,Mobile Suit Gundam F91,SEPERATE,6.67,SEPERATE,"Drama, Mecha, Military, Sci-Fi, Space",SEPERATE,Movie,SEPERATE,1,SEPERATE,Unknown,SEPERATE,5049,SEPERATE,3387,SEPERATE,63,END
89,SEPERATE,Mobile Suit Victory Gundam,SEPERATE,6.76,SEPERATE,"Drama, Mecha, Military, Sci-Fi, Space",SEPERATE,TV,SEPERATE,51,SEPERATE,Spring 1993,SEPERATE,4632,SEPERATE,3588,SEPERATE,95,END
90,SEPERATE,Mobile Suit Gundam Wing,SEPERATE,7.72,SEPERATE,"Action, Military, Sci-Fi, Space, Drama, Mecha",SEPERATE,TV,SEPERATE,49,SEPERATE,Spring 1995,SEPERATE,984,SEPERATE,1118,SEPERATE,2538,END
91,SEPERATE,Mobile Suit Gundam Wing: Endless Waltz,SEPERATE,7.76,SEPERATE,"Action, Drama, Mecha, Military, Sci-Fi, Space",SEPERATE,OVA,SEPERATE,3,SEPERATE,Unknown,SEPERATE,897,SEPERATE,2512,SEPERATE,221,END
92,SEPERATE,After War Gundam X,SEPERATE,7.32,SEPERATE,"Sci-Fi, Adventure, Space, Drama, Mecha",SEPERATE,TV,SEPERATE,39,SEPERATE,Spring 1996,SEPERATE,2228,SEPERATE,3043,SEPERATE,189,END
93,SEPERATE,Mobile Suit Gundam SEED,SEPERATE,7.79,SEPERATE,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",SEPERATE,TV,SEPERATE,50,SEPERATE,Fall 2002,SEPERATE,850,SEPERATE,1057,SEPERATE,3584,END
94,SEPERATE,Mobile Suit Gundam SEED Destiny,SEPERATE,7.22,SEPERATE,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",SEPERATE,TV,SEPERATE,50,SEPERATE,Fall 2004,SEPERATE,2687,SEPERATE,1530,SEPERATE,1206,END
95,SEPERATE,Turn A Gundam,SEPERATE,7.7,SEPERATE,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",SEPERATE,TV,SEPERATE,50,SEPERATE,Spring 1999,SEPERATE,1018,SEPERATE,2714,SEPERATE,760,END
96,SEPERATE,Mobile Fighter G Gundam,SEPERATE,7.56,SEPERATE,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",SEPERATE,TV,SEPERATE,49,SEPERATE,Spring 1994,SEPERATE,1396,SEPERATE,2109,SEPERATE,896,END
97,SEPERATE,Last Exile,SEPERATE,7.82,SEPERATE,"Action, Sci-Fi, Adventure",SEPERATE,TV,SEPERATE,26,SEPERATE,Spring 2003,SEPERATE,795,SEPERATE,995,SEPERATE,1848,END
98,SEPERATE,Mai-HiME,SEPERATE,7.46,SEPERATE,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",SEPERATE,TV,SEPERATE,26,SEPERATE,Fall 2004,SEPERATE,1698,SEPERATE,1381,SEPERATE,1262,END
99,SEPERATE,Mai-Otome,SEPERATE,7.31,SEPERATE,"Comedy, Drama, Fantasy, Magic",SEPERATE,TV,SEPERATE,26,SEPERATE,Fall 2005,SEPERATE,2308,SEPERATE,2370,SEPERATE,333,END
100,SEPERATE,Shin Shirayuki-hime Densetsu Prétear,SEPERATE,7.2,SEPERATE,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",SEPERATE,TV,SEPERATE,13,SEPERATE,Spring 2001,SEPERATE,2785,SEPERATE,2162,SEPERATE,457,END
101,SEPERATE,Air,SEPERATE,7.32,SEPERATE,"Slice of Life, Supernatural, Drama, Romance",SEPERATE,TV,SEPERATE,12,SEPERATE,Winter 2005,SEPERATE,2230,SEPERATE,563,SEPERATE,2704,END
102,SEPERATE,Aishiteruze Baby★★,SEPERATE,7.48,SEPERATE,"Comedy, Drama, Romance, Shoujo",SEPERATE,TV,SEPERATE,26,SEPERATE,Spring 2004,SEPERATE,1634,SEPERATE,1529,SEPERATE,571,END
103,SEPERATE,Akazukin Chacha,SEPERATE,7.39,SEPERATE,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",SEPERATE,TV,SEPERATE,74,SEPERATE,Winter 1994,SEPERATE,1941,SEPERATE,4551,SEPERATE,88,END
104,SEPERATE,Ayashi no Ceres,SEPERATE,7.23,SEPERATE,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo",SEPERATE,TV,SEPERATE,24,SEPERATE,Spring 2000,SEPERATE,2641,SEPERATE,2182,SEPERATE,535,END
105,SEPERATE,Boys Be...,SEPERATE,6.46,SEPERATE,"Slice of Life, Comedy, Romance, Shounen",SEPERATE,TV,SEPERATE,13,SEPERATE,Spring 2000,SEPERATE,6088,SEPERATE,3665,SEPERATE,41,END
106,SEPERATE,Hana yori Dango,SEPERATE,7.7,SEPERATE,"Drama, Romance, School, Shoujo",SEPERATE,TV,SEPERATE,51,SEPERATE,Fall 1996,SEPERATE,1027,SEPERATE,2293,SEPERATE,762,END
107,SEPERATE,Ou Dorobou Jing,SEPERATE,7.23,SEPERATE,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",SEPERATE,TV,SEPERATE,13,SEPERATE,Spring 2002,SEPERATE,2625,SEPERATE,2817,SEPERATE,210,END
108,SEPERATE,Ou Dorobou Jing in Seventh Heaven,SEPERATE,7.29,SEPERATE,"Adventure, Fantasy, Psychological, Comedy, Shounen",SEPERATE,OVA,SEPERATE,3,SEPERATE,Unknown,SEPERATE,2367,SEPERATE,4619,SEPERATE,29,END
109,SEPERATE,Bakuretsu Tenshi,SEPERATE,6.81,SEPERATE,"Adventure, Comedy, Mecha, Sci-Fi",SEPERATE,TV,SEPERATE,24,SEPERATE,Spring 2004,SEPERATE,4381,SEPERATE,1965,SEPERATE,257,END
110,SEPERATE,Chuuka Ichiban!,SEPERATE,7.63,SEPERATE,"Action, Comedy, Drama, Shounen",SEPERATE,TV,SEPERATE,52,SEPERATE,Spring 1997,SEPERATE,1195,SEPERATE,4086,SEPERATE,107,END
111,SEPERATE,Corrector Yui,SEPERATE,6.83,SEPERATE,"Sci-Fi, Adventure, Comedy, Magic",SEPERATE,TV,SEPERATE,52,SEPERATE,Spring 1999,SEPERATE,4318,SEPERATE,4519,SEPERATE,50,END
112,SEPERATE,Chou Henshin Cosprayers,SEPERATE,4.95,SEPERATE,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi",SEPERATE,TV,SEPERATE,8,SEPERATE,Winter 2004,SEPERATE,10648,SEPERATE,5542,SEPERATE,5,END
113,SEPERATE,Uchuu no Stellvia,SEPERATE,7.38,SEPERATE,"Action, Mecha, Romance, Sci-Fi, Space",SEPERATE,TV,SEPERATE,26,SEPERATE,Spring 2003,SEPERATE,1980,SEPERATE,3577,SEPERATE,127,END
114,SEPERATE,Sakigake!! Cromartie Koukou,SEPERATE,7.93,SEPERATE,"Comedy, School, Shounen",SEPERATE,TV,SEPERATE,26,SEPERATE,Fall 2003,SEPERATE,631,SEPERATE,1279,SEPERATE,1561,END
115,SEPERATE,El Hazard: The Alternative World,SEPERATE,6.83,SEPERATE,"Adventure, Comedy, Fantasy",SEPERATE,TV,SEPERATE,13,SEPERATE,Winter 1998,SEPERATE,4315,SEPERATE,4961,SEPERATE,10,END
116,SEPERATE,El Hazard: The Wanderers,SEPERATE,6.97,SEPERATE,"Adventure, Comedy, Romance, Fantasy",SEPERATE,TV,SEPERATE,26,SEPERATE,Fall 1995,SEPERATE,3735,SEPERATE,4198,SEPERATE,35,END
117,SEPERATE,El Hazard: The Magnificent World,SEPERATE,7.32,SEPERATE,"Adventure, Comedy, Romance, Fantasy",SEPERATE,OVA,SEPERATE,7,SEPERATE,Unknown,SEPERATE,2240,SEPERATE,4129,SEPERATE,91,END
118,SEPERATE,El Hazard 2: The Magnificent World,SEPERATE,6.85,SEPERATE,"Adventure, Comedy, Fantasy",SEPERATE,OVA,SEPERATE,4,SEPERATE,Unknown,SEPERATE,4239,SEPERATE,5421,SEPERATE,5,END
119,SEPERATE,Final Approach,SEPERATE,6.56,SEPERATE,"Comedy, Drama, Romance, Slice of Life",SEPERATE,TV,SEPERATE,13,SEPERATE,Fall 2004,SEPERATE,5567,SEPERATE,2887,SEPERATE,48,END
120,SEPERATE,Fruits Basket,SEPERATE,7.69,SEPERATE,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",SEPERATE,TV,SEPERATE,26,SEPERATE,Summer 2001,SEPERATE,1058,SEPERATE,314,SEPERATE,9504,END
121,SEPERATE,Fullmetal Alchemist,SEPERATE,8.17,SEPERATE,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",SEPERATE,TV,SEPERATE,51,SEPERATE,Fall 2003,SEPERATE,337,SEPERATE,52,SEPERATE,26564,END
122,SEPERATE,Full Moon wo Sagashite,SEPERATE,7.96,SEPERATE,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",SEPERATE,TV,SEPERATE,52,SEPERATE,Spring 2002,SEPERATE,585,SEPERATE,1519,SEPERATE,1823,END
123,SEPERATE,Fushigi Yuugi,SEPERATE,7.64,SEPERATE,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo",SEPERATE,TV,SEPERATE,52,SEPERATE,Spring 1995,SEPERATE,1172,SEPERATE,1434,SEPERATE,2277,END
124,SEPERATE,Fushigi Yuugi: Eikouden,SEPERATE,6.86,SEPERATE,"Adventure, Fantasy, Romance, Drama, Shoujo",SEPERATE,OVA,SEPERATE,4,SEPERATE,Unknown,SEPERATE,4189,SEPERATE,4101,SEPERATE,69,END
125,SEPERATE,Futakoi,SEPERATE,6.49,SEPERATE,"Comedy, Romance, School",SEPERATE,TV,SEPERATE,13,SEPERATE,Fall 2004,SEPERATE,5946,SEPERATE,2900,SEPERATE,22,END
126,SEPERATE,Futakoi Alternative,SEPERATE,6.91,SEPERATE,"Comedy, Drama, Romance",SEPERATE,TV,SEPERATE,13,SEPERATE,Spring 2005,SEPERATE,3968,SEPERATE,3071,SEPERATE,71,END
